Airline Name,Travel Time,Number of Stops,Ticket Price ($),Departure Airport,Departure Time,1st Stop: Departure Time,1st Stop,2nd Stop: Departure Time,2nd Stop,Destination Airport,Arrival Time,Arrival Date
American,2 days 00:25:00,2 Stops,1911.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 04:56:00,DFW,JFK,19:30:00,1-04-08
American,2 days 02:35:00,2 Stops,1911.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 07:03:00,DFW,JFK,21:40:00,1-04-08
Cathay Pacific,2 days 02:50:00,2 Stops,1944.0,DAC,02:10:00,0 days 10:20:00,HKG,0 days 19:20:00,BOS,JFK,19:00:00,1-04-08
Cathay Pacific,2 days 02:50:00,2 Stops,1944.0,DAC,02:10:00,0 days 10:20:00,HKG,0 days 19:20:00,BOS,JFK,19:00:00,
Multiple,1 days 05:30:00,2 Stops,1950.0,DAC,01:40:00,0 days 06:55:00,DXB,0 days 02:25:00,LHR,JFK,21:10:00,1-04-08
Gulf Air Company,1 days 18:50:00,2 Stops,2041.0,DAC,05:40:00,0 days 17:20:00,BAH,0 days 04:20:00,CDG,JFK,14:30:00,
Finnair,1 days 01:30:00,2 Stops,2070.0,DAC,03:35:00,0 days 01:55:00,DOH,0 days 02:05:00,HEL,JFK,19:05:00,1-04-08
American,0 days 22:55:00,1 Stop,2070.0,DAC,20:15:00,0 days 02:40:00,DOH,,,JFK,09:10:00,1-04-08
American,1 days 08:45:00,2 Stops,2080.0,DAC,20:15:00,0 days 09:00:00,DOH,0 days 03:10:00,BOS,JFK,19:00:00,1-04-09
American,2 days 00:24:00,2 Stops,2088.0,DAC,20:15:00,0 days 09:00:00,DOH,0 days 18:46:00,BOS,JFK,10:39:00,1-04-09
American,2 days 02:44:00,2 Stops,2088.0,DAC,20:15:00,0 days 09:00:00,DOH,0 days 21:08:00,BOS,JFK,12:59:00,1-04-09
American,2 days 05:01:00,2 Stops,2088.0,DAC,20:15:00,0 days 09:00:00,DOH,0 days 23:25:00,BOS,JFK,15:16:00,1-04-08
Qatar,1 days 20:34:00,2 Stops,2120.0,DAC,10:50:00,0 days 18:25:00,DOH,0 days 05:08:00,BOS,JFK,21:24:00,1-04-08
Qatar,2 days 01:54:00,2 Stops,2120.0,DAC,05:30:00,0 days 23:45:00,DOH,0 days 05:08:00,BOS,JFK,21:24:00,1-04-09
Air India,2 days 02:55:00,2 Stops,2199.0,DAC,14:40:00,0 days 19:10:00,CCU,0 days 13:55:00,DEL,JFK,07:35:00,1-04-09
Air India,2 days 02:55:00,2 Stops,2199.0,DAC,14:40:00,0 days 15:30:00,CCU,0 days 17:05:00,DEL,JFK,07:35:00,1-04-09
Singapore,1 days 21:15:00,1 Stop,2235.0,DAC,23:55:00,0 days 17:50:00,SIN,,,JFK,11:10:00,1-04-08
British,1 days 00:50:00,2 Stops,2266.0,DAC,20:15:00,0 days 02:10:00,DOH,0 days 02:00:00,LHR,JFK,11:05:00,
Multiple,0 days 23:05:00,2 Stops,2393.0,DAC,10:15:00,0 days 01:10:00,DXB,0 days 01:35:00,LHR,JFK,23:20:00,1-04-08
Gulf Air Company,1 days 13:50:00,2 Stops,2404.0,DAC,05:40:00,0 days 12:25:00,BAH,0 days 04:20:00,AUH,JFK,09:30:00,1-04-08
Gulf Air Company,1 days 20:20:00,2 Stops,2404.0,DAC,05:40:00,0 days 12:25:00,BAH,0 days 10:50:00,AUH,JFK,16:00:00,
Multiple,0 days 21:20:00,1 Stop,2416.0,DAC,03:35:00,0 days 01:35:00,DOH,,,JFK,14:55:00,1-04-08
Multiple,0 days 21:40:00,1 Stop,2416.0,DAC,21:30:00,0 days 01:25:00,DOH,,,JFK,09:10:00,1-04-08
Multiple,1 days 03:25:00,1 Stop,2416.0,DAC,21:30:00,0 days 07:40:00,DOH,,,JFK,14:55:00,1-04-08
Multiple,1 days 08:20:00,1 Stop,2420.0,DAC,10:50:00,0 days 12:05:00,DOH,,,JFK,09:10:00,1-04-08
Multiple,1 days 13:40:00,1 Stop,2420.0,DAC,05:30:00,0 days 17:25:00,DOH,,,JFK,09:10:00,
Qatar,0 days 21:45:00,1 Stop,2426.0,DAC,03:35:00,0 days 01:50:00,DOH,,,JFK,15:20:00,1-04-08
Qatar,1 days 03:50:00,1 Stop,2426.0,DAC,21:30:00,0 days 07:55:00,DOH,,,JFK,15:20:00,
Qatar,1 days 04:55:00,1 Stop,2426.0,DAC,03:35:00,0 days 09:00:00,DOH,,,JFK,22:30:00,1-04-08
Qatar,1 days 08:20:00,1 Stop,2430.0,DAC,10:50:00,0 days 12:05:00,DOH,,,JFK,09:10:00,1-04-08
Qatar,1 days 13:40:00,1 Stop,2430.0,DAC,05:30:00,0 days 17:25:00,DOH,,,JFK,09:10:00,1-04-08
Qatar,1 days 15:35:00,1 Stop,2430.0,DAC,03:35:00,0 days 19:20:00,DOH,,,JFK,09:10:00,1-04-08
American,1 days 04:40:00,1 Stop,2640.0,DAC,20:15:00,0 days 08:55:00,DOH,,,JFK,14:55:00,1-04-08
American,1 days 10:30:00,2 Stops,2650.0,DAC,20:15:00,0 days 08:55:00,DOH,0 days 03:15:00,ORD,EWR,20:45:00,1-04-08
American,1 days 11:30:00,2 Stops,2650.0,DAC,20:15:00,0 days 08:55:00,DOH,0 days 04:00:00,ORD,LGA,21:45:00,1-04-08
American,1 days 11:58:00,2 Stops,2650.0,DAC,20:15:00,0 days 08:55:00,DOH,0 days 04:44:00,ORD,EWR,22:13:00,1-04-09
Singapore,1 days 19:26:00,2 Stops,2652.0,DAC,23:55:00,0 days 14:40:00,SIN,0 days 03:15:00,LAX,JFK,09:21:00,1-04-09
